Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,3051784362,,,,3051784362,,540593304,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",1,No Quantity,0,,,,81311006845,,6278288055,,,6
H5,2018,2018,2018,4,0,3,Re-Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,205906,,,,205906,,161707,,,0
H5,2018,2018,2018,4,0,4,Re-Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,300727000,,,,300727000,,34243953,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,163649272,,,,163649272,,14695417,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,197289000,,,,197289000,,17237085,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,1204155781,,,,1204155781,,259465044,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",1,No Quantity,0,,,,27641641,,2379203,,,6
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,50,Bangladesh,BGD,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,757979000,,,,757979000,,46711454,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,6505517,,,,6505517,,945355,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,318697881,,,,318697881,,9073976,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,255308,,,,255308,,172759,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,77,,,,77,,75,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,475479000,,,,475479000,,45878942,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,100,Bulgaria,BGR,,,,,,,,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",8,Weight in kilograms,87315000,,,,87315000,,5199098,,,0
