Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,354264704,,,,354264704,,60167502,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1240603959,,,,1240603959,,104754760,,,0
H5,2018,2018,2018,6,1,3,Re-Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,200522,,,,200522,,161424,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,272,,,,272,,383,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,100000,,,,100000,,18602,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,6,,,,6,,97,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3560,,,,3560,,8060,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,445479000,,,,445479000,,42011893,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,156,China,CHN,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,100000,,,,100000,,30857,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,178,Congo,COG,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,37621090,,,,37621090,,2297799,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,180,Dem. Rep. of the Congo,COD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,526301,,,,526301,,501146,,,0
H5,2018,2018,2018,6,1,3,Re-Export,710,South Africa,ZAF,180,Dem. Rep. of the Congo,COD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,182072,,,,182072,,156219,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,232,Eritrea,ERI,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2917,,,,2917,,3686,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,276,Germany,DEU,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,28558,,,,28558,,16210,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,276,Germany,DEU,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,276,,,,276,,90,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,288,Ghana,GHA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,15148,,,,15148,,4357,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,376,Israel,ISR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,36450,,,,36450,,9524,,,0
H5,2018,2018,2018,6,1,3,Re-Export,710,South Africa,ZAF,376,Israel,ISR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,18450,,,,18450,,5205,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,404,Kenya,KEN,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,25425535,,,,25425535,,3653636,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,426,Lesotho,LSO,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4155,,,,4155,,361,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,428,Latvia,LVA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,34005200,,,,34005200,,6368452,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,454,Malawi,MWI,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2625,,,,2625,,8911,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,458,Malaysia,MYS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2385,,,,2385,,24600,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,458,Malaysia,MYS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,6316649,,,,6316649,,2514861,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,516,Namibia,NAM,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,356466,,,,356466,,27687,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,528,Netherlands,NLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2565000,,,,2565000,,363816,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,528,Netherlands,NLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,129499000,,,,129499000,,7763324,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,566,Nigeria,NGA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,54505,,,,54505,,11870,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,579,Norway,NOR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,701,,,,701,,169,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,608,Philippines,PHL,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,310000,,,,310000,,63682,,,0
