Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,842,USA,USA,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,75491000,,,,75491000,,11823665,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,266193000,,,,266193000,,40763937,,,0
H5,2017,2017,2017,6,1,3,Re-Export,842,USA,USA,0,World,WLD,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,147000,,,,147000,,37463,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,165000,,,,165000,,51484,,,0
H5,2017,2017,2017,6,1,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,635000,,,,635000,,68296,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,618000,,,,618000,,107928,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,62000,,,,62000,,18183,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,35000,,,,35000,,8540,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,78000,,,,78000,,19898,,,0
H5,2017,2017,2017,6,1,3,Re-Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,78000,,,,78000,,19898,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,33135000,,,,33135000,,4744290,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,92,Br. Virgin Isds,VGB,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,10000,,,,10000,,2900,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,104,Myanmar,MMR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,5000,,,,5000,,2884,,,0
H5,2017,2017,2017,6,1,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,187402000,,,,187402000,,25401068,,,0
