Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2018,2018,2018,4,0,1,Import,4,Afghanistan,AFG,842,USA,USA,,,,,,,,2704,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",8,Weight in kilograms,349921,,,,349921,,833693,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,842,USA,USA,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,9037,,,,9037,,65501,,,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,15230,,,,15230,,87313,,,0
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2707,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,8,Weight in kilograms,155516,,,,155516,,349854,,,0
H5,2018,2018,2018,4,0,2,Export,24,Angola,AGO,842,USA,USA,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,16215359,,,,16215359,,1071623112,,,6
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,106504827,,,,106504827,,70560067,,,6
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2711,Petroleum gases and other gaseous hydrocarbons,8,Weight in kilograms,52330,,,,52330,,388687,,,6
H5,2018,2018,2018,4,0,2,Export,24,Angola,AGO,842,USA,USA,,,,,,,,2711,Petroleum gases and other gaseous hydrocarbons,8,Weight in kilograms,60248171,,,,,,31260649,,,6
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2712,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not",8,Weight in kilograms,46,,,,46,,550,,,0
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,13565400,,,,13565400,,4733830,,,0
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,2714,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",8,Weight in kilograms,80969,,,,80969,,94022,,,0
H5,2018,2018,2018,4,0,2,Export,24,Angola,AGO,842,USA,USA,,,,,,,,2714,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",8,Weight in kilograms,190,,,,190,,184,,,0
H3,2018,2018,2018,6,1,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,270119,"Coal other than anthracite & bituminous, whether/not pulverised but not agglomerated",8,Weight in kilograms,10,,,,10,,302,,,0
H3,2018,2018,2018,4,0,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,2703,"Peat (including peat litter), whether or not agglomerated.",8,Weight in kilograms,19061,,,,19061,,58840,,,6
H3,2018,2018,2018,4,0,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,2706,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",8,Weight in kilograms,23,,,,23,,58,,,0
