Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,6540,,,,6540,,6606,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,360,,,,360,,226,,,0
H5,2017,2017,2017,6,1,1,Import,56,Belgium,BEL,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,19647100,,,,19647100,,3313688,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4679920,,,,4679920,,644272,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,5,,,,5,,29,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1440,,,,1440,,3086,,,0
H5,2017,2017,2017,6,1,1,Import,76,Brazil,BRA,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,25659915,,,,25659915,,3680123,,,0
H5,2017,2017,2017,6,1,1,Import,104,Myanmar,MMR,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4536,,,,4536,,3701,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,200,,,,200,,200,,,0
H5,2017,2017,2017,6,1,1,Import,124,Canada,CAN,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",1,No Quantity,0,,,,,,24813706,,,0
H5,2017,2017,2017,6,1,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,367000,,,,367000,,52639,,,0
H5,2017,2017,2017,6,1,3,Re-Export,124,Canada,CAN,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,367000,,,,367000,,52639,,,0
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,859460,,,,859460,,522106,,,0
