,TJ/Gg,kg/TJ,kg/tonne
Crude oil,42.3,0.6,0.02538
Orimulsion,27.5,0.6,0.0165
Natural Gas Liquids,44.2,0.6,0.02652
Motor gasoline,44.3,0.6,0.02658
Aviation gasoline,44.3,0.6,0.02658
Jet gasoline,44.3,0.6,0.02658
Jet kerosene,44.1,0.6,0.02646
Other kerosene,43.8,0.6,0.02628
Shale oil,38.1,0.6,0.02286
Gas/Diesel oil,43,0.6,0.0258
Residual fuel oil,40.4,0.6,0.02424
Liquified Petroleum Gases,47.3,0.1,0.00473
Ethane,46.4,0.1,0.00464
Naphtha,44.5,0.6,0.0267
Bitumen,40.2,0.6,0.02412
Lubricants,40.2,0.6,0.02412
Petroleum coke,32.5,0.6,0.0195
Refinery feedstocks,43,0.6,0.0258
Refinery gas,49.5,0.1,0.00495
Paraffin waxes,40.2,0.6,0.02412
White Spirit/SBP,40.2,0.6,0.02412
Other petroleum products,40.2,0.6,0.02412
Anthracite,26.7,1.5,0.04005
Coking coal,28.2,1.5,0.0423
Other bituminous coal,25.8,1.5,0.0387
Sub bituminous coal,18.9,1.5,0.02835
Lignite,11.9,1.5,0.01785
Oil shale and tar sands,8.9,1.5,0.01335
Brown coal briquettes,20.7,1.5,0.03105
Patent fuel,20.7,1.5,0.03105
Coke oven coke,28.2,1.5,0.0423
Lignite coke,28.2,1.5,0.0423
Gas coke,28.2,0.1,0.00282
Coal tar,28,1.5,0.042
Gas works gas,38.7,0.1,0.00387
Coke oven gas,38.7,0.1,0.00387
Blast furnace gas,2.47,0.1,0.000247
Oxygen steel furnace gas,7.06,0.1,0.000706
Natural gas,48,0.1,0.0048
Municipal waste (Non biomass fraction),10,4,0.04
Industrial wastes,NA,4,NA
Waste oils,40.2,4,0.1608
Wood or Wood waste,15.6,4,0.0624
Sulphite lyes (Black liqour),11.8,2,0.0236
Other primary solid biomass fuels,11.6,4,0.0464
Charcoal,29.5,1,0.0295
Biogasoline,27,0.6,0.0162
Biodiesels,27,0.6,0.0162
Other liquid biofuels,27.4,0.6,0.01644
Landfill gas,50.4,0.1,0.00504
Sludge gas,50.4,0.1,0.00504
Other biogas,50.4,0.1,0.00504
Municipal wastes (Biomass fraction),11.6,4,0.0464
Peat,9.76,1.4,0.013664
