Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,18074903,,,,18074903,,4915279,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11389890,,,,11389890,,4927911,,,0
H5,2018,2018,2018,4,0,3,Re-Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,51680,,,,51680,,9968,,,0
H5,2018,2018,2018,4,0,4,Re-Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,420734,,,,420734,,83225,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,242670,,,,242670,,63628,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,228,,,,228,,5959,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,136,,,,136,,2325,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,37460,,,,37460,,14799,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,0,,,,0,,0,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,853736,,,,853736,,185936,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,59804,,,,59804,,113946,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,0,,,,0,,2,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,120,Cameroon,CMR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17,,,,17,,6,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,124,Canada,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,49642,,,,49642,,11574,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,120127,,,,120127,,32505,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5078909,,,,5078909,,1601151,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,180,Dem. Rep. of the Congo,COD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,682,,,,682,,11015,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,231,Ethiopia,ETH,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,0,,,,0,,19,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,67,,,,67,,1065,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,895916,,,,895916,,374724,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2,,,,2,,7,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,300,Greece,GRC,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,45,,,,45,,30,,,0
