Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,69970,,,,69970,,60388,,,0
H5,2018,2018,2018,4,0,2,Export,24,Angola,AGO,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,95205,,,,95205,,115340,,,6
H5,2018,2018,2018,4,0,2,Export,36,Australia,AUS,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,127,,,,127,,3356,,,0
H5,2018,2018,2018,4,0,1,Import,40,Austria,AUT,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,570,,,,570,,2073,,,0
H5,2018,2018,2018,4,0,1,Import,56,Belgium,BEL,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,135340,,,,135340,,203030,,,0
H5,2018,2018,2018,4,0,2,Export,56,Belgium,BEL,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1962,,,,1962,,544,,,0
H5,2018,2018,2018,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1355259,,,,1399267,,2116685,,,6
H5,2018,2018,2018,4,0,2,Export,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,304134,,,,635166,,115985,,,6
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,10,,,0
H5,2018,2018,2018,4,0,2,Export,124,Canada,CAN,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,53050,,,,53050,,35759,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,759610,,,,759610,,312375,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,126488,,,,126488,,120204,,,0
H5,2018,2018,2018,4,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,250,,,,250,,254,,,0
H5,2018,2018,2018,4,0,2,Export,251,France,FRA,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,21243,,,,21243,,7036,,,6
H5,2018,2018,2018,4,0,2,Export,276,Germany,DEU,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,535792,,,,535792,,258896,,,0
H5,2018,2018,2018,4,0,2,Export,288,Ghana,GHA,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,112,,,,112,,83,,,0
H5,2018,2018,2018,4,0,1,Import,344,"China, Hong Kong SAR",HKG,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1125458,,,,1125458,,448830,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,103570,,,,103570,,46607,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,22000,,,,22000,,19800,,,0
