,Country,Commodity,ExportsFrom,World,ImportsTo,ReExportsFrom,ExpFromImpToRatio,emissionsCommodity,tCO2_USA,tCH4_USA,tN2O_USA,ghgCategory,tCO2,tCH4,tN2O
121,South Africa,"Coal; anthracite, whether or not pulverised, but not agglomerated",1240603956.0,1240603959.0,1081156998.4327278,200522.0,1.1474780793154098,Anthracite Coal,3558336.2656936883,377.44074148019143,54.701556736259626,Anthracite,3256101.54895716,331.241256252,49.686188437800006
1232,Egypt,"Coal; anthracite, whether or not pulverised, but not agglomerated",120325464.0,120325464.0,115802565.0,0.0,1.0390569846186049,Anthracite Coal,345120.98737626494,36.607760382724486,5.305472519235433,Anthracite,315807.41606904,32.126898888,4.8190348332
174,South Africa,"Coal; bituminous, whether or not pulverised, but not agglomerated",78923408014.0,78923408014.0,25875252471.1846,5384.0,3.0501502585101843,Bituminous Coal,202271791.30111995,23837.621856562095,3479.9447965784084,Bitumen,256038584.87453794,31727.210021628,1903.63260129768
1259,Egypt,"Coal; bituminous, whether or not pulverised, but not agglomerated",3000.0,3000.0,167170.0,0.0,0.01794580367290782,Bituminous Coal,7.688661566613021,0.0009061046319363302,0.00013227804845785844,Bitumen,9.73242,0.001206,7.236e-05
242,South Africa,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",1016501294.0,1016501302.0,38656695318.47959,0.0,0.02629560767223855,Sub-bituminous Coal,1877969.2770387356,212.89627842324566,31.37418839921515,Sub bituminous coal,1846261.13527926,192.11874456599998,28.8178116849
1266,Nigeria,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",268200.0,268200.0,201957.94218971557,0.0,1.3279992709970172,Sub-bituminous Coal,495.49505059635356,0.05617187327762958,0.008277960272492781,Sub bituminous coal,487.128978,0.05068979999999999,0.00760347
1272,Egypt,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",167551.0,167551.0,259024.0,0.0,0.6468551176724937,Sub-bituminous Coal,309.54769285037145,0.035091922220507506,0.005171441169337949,Sub bituminous coal,304.32120579,0.031667139,0.00475007085
302,South Africa,"Briquettes, ovoids and similar solid fuels; manufactured from coal",130493565.0,130493569.0,55120289.88032144,0.0,2.367432487806775,Mixed Coal (Commercial Sector),289992.09312374616,33.80364180757953,4.890739665777464,Other bituminous coal,318493.03422419995,33.667339770000005,5.0501009654999995
1283,Egypt,"Briquettes, ovoids and similar solid fuels; manufactured from coal",20900.0,20900.0,425.0,0.0,49.1764705882353,Mixed Coal (Commercial Sector),46.445468374523244,0.005414030291673097,0.0007833065102846183,Other bituminous coal,51.010212,0.0053922,0.00080883
333,South Africa,"Lignite; whether or not agglomerated, excluding jet",12.0,12.0,480.34961198564264,0.0,0.024981804295406973,Lignite Coal,0.018373420930796535,2.063537555942591e-06,3.042395114530744e-07,Lignite,0.014422800000000001,1.4280000000000001e-06,2.142e-07
