,ImpExp,Class,Subclass,South Africa,Nigeria,Egypt
1,Import,Coal,Anthracite,8.67E-01%,1.35E-02%,4.00E-01%
1,Import,Coal,Bitumen,3.85E+00%,0.00E+00%,7.19E+00%
1,Import,Coal,Sub bituminous coal,2.34E+00%,1.11E-01%,4.92E-01%
1,Import,Coal,Brown coal briquettes,8.36E-02%,3.98E-04%,1.23E-03%
1,Import,Coal,Coke oven coke,1.02E-01%,0.00E+00%,1.16E-01%
1,Import,Coal,Lignite,1.51E-07%,4.41E-07%,9.27E-05%
1,Import,Coal,Peat,5.47E-02%,6.34E-04%,1.27E-02%
1,Import,Coal,Coking coal,1.99E+00%,3.52E-03%,2.58E+00%
1,Import,Coal,Coal tar,2.57E-03%,0.00E+00%,1.22E-05%
1,Import,Coal,Petroleum coke,8.09E-01%,2.96E+00%,1.35E+01%
1,Import,Gas,Natural gas,8.11E+00%,1.70E-01%,1.46E+01%
1,Import,Gas,Gas coke,4.31E-06%,3.71E-05%,2.17E-07%
1,Import,Oil,Crude oil,5.86E+01%,0.00E+00%,2.64E+01%
1,Import,Oil,Motor gasoline,2.32E+01%,9.67E+01%,3.41E+01%
1,Import,Oil,Other petroleum products,1.02E-02%,3.07E-02%,4.42E-02%
1,Import,Oil,Oil shale and tar sands,7.74E-04%,2.14E-03%,6.59E-01%
1,Import,Coal,Petroleum coke,8.09E-01%,2.96E+00%,1.35E+01%
2,Import,Total CO2,,107266442.35434848,36605182.572971255,83367676.60786334
1,Export,Coal,Anthracite,1.16E+00%,,7.29E-01%
1,Export,Coal,Bitumen,9.16E+01%,,2.25E-05%
1,Export,Coal,Sub bituminous coal,6.61E-01%,3.77E-04%,7.03E-04%
1,Export,Coal,Brown coal briquettes,9.42E-02%,,9.74E-05%
1,Export,Coal,Coke oven coke,2.29E-03%,,
1,Export,Coal,Lignite,5.16E-09%,,3.19E-01%
1,Export,Coal,Peat,1.52E-04%,,
1,Export,Coal,Coking coal,1.02E-01%,5.88E-05%,6.30E-01%
1,Export,Coal,Coal tar,3.04E-04%,,2.58E-02%
1,Export,Coal,Petroleum coke,1.02E-01%,,1.55E-01%
1,Export,Gas,Natural gas,9.50E-02%,3.24E+00%,1.32E+01%
1,Export,Gas,Gas coke,2.15E-05%,,
1,Export,Oil,Crude oil,1.32E-04%,9.57E+01%,3.32E+01%
1,Export,Oil,Motor gasoline,5.89E+00%,6.58E-01%,5.17E+01%
1,Export,Oil,Other petroleum products,2.80E-01%,3.88E-01%,8.50E-03%
1,Export,Oil,Oil shale and tar sands,8.05E-03%,,8.68E-04%
1,Export,Coal,Petroleum coke,1.02E-01%,,1.55E-01%
2,Export,Total CO2,,279502207.7690144,129299313.9640036,43316308.97080213
1,Net export,Coal,Anthracite,1.08E+00%,2.99E-03%,5.12E-01%
1,Net export,Coal,Bitumen,6.73E+01%,0.00E+00%,4.73E+00%
1,Net export,Coal,Sub bituminous coal,1.12E+00%,2.47E-02%,3.24E-01%
1,Net export,Coal,Brown coal briquettes,9.13E-02%,8.78E-05%,8.45E-04%
1,Net export,Coal,Coke oven coke,2.99E-02%,0.00E+00%,7.62E-02%
1,Net export,Coal,Lignite,4.57E-08%,9.73E-08%,1.09E-01%
1,Net export,Coal,Peat,1.53E-02%,1.40E-04%,8.33E-03%
1,Net export,Coal,Coking coal,6.27E-01%,8.23E-04%,1.91E+00%
1,Net export,Coal,Coal tar,9.31E-04%,0.00E+00%,8.83E-03%
1,Net export,Coal,Petroleum coke,2.98E-01%,6.54E-01%,8.93E+00%
1,Net export,Gas,Natural gas,2.32E+00%,2.56E+00%,1.41E+01%
1,Net export,Gas,Gas coke,1.67E-05%,8.18E-06%,1.43E-07%
1,Net export,Oil,Crude oil,1.63E+01%,7.46E+01%,2.87E+01%
1,Net export,Oil,Motor gasoline,1.07E+01%,2.18E+01%,4.01E+01%
1,Net export,Oil,Other petroleum products,2.05E-01%,3.09E-01%,3.20E-02%
1,Net export,Oil,Oil shale and tar sands,6.03E-03%,4.72E-04%,4.34E-01%
1,Net export,Coal,Petroleum coke,2.98E-01%,6.54E-01%,8.93E+00%
2,Net export,Total CO2,,386768650.12336284,165904496.53697485,126683985.57866545
